Date_&_Time,Vehicle_Details
17-12-2022 01:28:12,mABNGeI
17-12-2022 01:28:13,VIH13BNRa7
17-12-2022 01:28:13,MH13BN845d
17-12-2022 01:28:13,WTaNeal
17-12-2022 01:28:14,IH13BN8454
17-12-2022 01:28:14,MH1SBN84a
17-12-2022 01:28:14,MATOBNO
17-12-2022 01:28:15,iFSENGS4
17-12-2022 01:28:15,THTSENGSO4
17-12-2022 01:28:15,FTTeNeso4I
17-12-2022 01:28:16,454
17-12-2022 01:28:17,MR13BNea5ayy
17-12-2022 01:28:17,MHA3eNee4
17-12-2022 01:28:17,MH13BN8454J
17-12-2022 01:28:18,FTSENGS4
17-12-2022 01:28:18,IHTSENGSE
17-12-2022 01:28:18,AH13BN4549
17-12-2022 01:28:19,ALTOBING
17-12-2022 01:28:19,FSBN6454J
17-12-2022 01:28:20,VFTaBNGdo4
17-12-2022 01:28:20,MH13BNaasa
17-12-2022 01:28:20,frENGI
17-12-2022 01:28:21,IH12N64
17-12-2022 01:28:21,WATZNOS
17-12-2022 01:28:21,4H13BNassay
17-12-2022 01:28:21,AH13BN6454
17-12-2022 01:28:22,MH13BN8454I
17-12-2022 01:28:22,ATTEN404I
17-12-2022 01:28:22,JHTSBNE4o4
17-12-2022 01:28:23,TTSBNEz
17-12-2022 01:28:23,FTiyBN8454
17-12-2022 01:28:23,MH13BNry
17-12-2022 01:28:24,13BN8454a
17-12-2022 01:28:24,454
17-12-2022 01:28:25,artSBNG04
17-12-2022 01:28:25,MHTBNOS4
17-12-2022 01:28:25,iA3BN3454
17-12-2022 01:28:26,TTSBN3404
17-12-2022 01:28:26,carrEy
17-12-2022 01:28:26,MH13BNe4S49
17-12-2022 01:28:26,InGOINGS
17-12-2022 01:28:27,nFSaNatoel
17-12-2022 01:28:27,MTTSENGAET
17-12-2022 01:28:27,MH13BNaa5aQ
17-12-2022 01:28:28,AMTOGNG
17-12-2022 01:28:28,MA3BN8454
17-12-2022 01:28:28,ht3BN8454
17-12-2022 01:28:28,brKjBN8454
17-12-2022 01:28:29,aTFBN8454nN
17-12-2022 01:28:29,NETSBNedSaI
17-12-2022 01:28:30,FTBBNGSa
17-12-2022 01:28:30,FT13BNBa5eN
17-12-2022 01:28:30,HISBNGdea
17-12-2022 01:28:30,VODNLGE
17-12-2022 01:28:31,TF3BN8454
17-12-2022 01:28:31,vASBNEO4
17-12-2022 01:28:56,mitaTCav
17-12-2022 01:28:56,psaTomens
